y	66	=	131
x	67	=	563
y	67	=	95
x	68	=	596
y	68	=	62
x	69	=	643
y	69	=	33
x	70	=	672
y	70	=	4
x	71	=	731
y	71	=	71
x	72	=	745
y	72	=	71
x	73	=	784
y	73	=	91
x	74	=	765
y	74	=	91
x	75	=	704
y	75	=	98
x	76	=	687
y	76	=	45
x	77	=	630
y	77	=	28
x	78	=	630
y	78	=	10
x	79	=	620
y	79	=	10
x	80	=	582
y	80	=	10
x	81	=	554
y	81	=	10
x	82	=	601
y	82	=	44
x	83	=	574
y	83	=	71
x	84	=	560
y	84	=	57
x	85	=	532
y	85	=	85
x	86	=	479
y	86	=	138
x	87	=	543
y	87	=	90
x	88	=	497
y	88	=	113
x	89	=	413
y	89	=	207
x	90	=	413
y	90	=	197
x	91	=	427
y	91	=	193
x	92	=	490
y	92	=	193
x	93	=	545
y	93	=	160
x	94	=	564
y	94	=	179
x	95	=	622
y	95	=	242
x	96	=	622
y	96	=	269
x	97	=	595
y	97	=	269
x	98	=	559
y	98	=	269
x	99	=	544
y	99	=	284
x	100	=	488
y	100	=	313
x	101	=	629
y	101	=	293
x	102	=	659
y	102	=	323
x	103	=	685
y	103	=	349
x	104	=	721
y	104	=	361
x	105	=	704
y	105	=	344
x	106	=	704
y	106	=	328
x	107	=	678
y	107	=	302
x	108	=	678
y	108	=	260
x	109	=	739
y	109	=	385
x	110	=	773
y	110	=	385
x	111	=	766
y	111	=	430
x	112	=	783
y	112	=	447
x	113	=	768
y	113	=	462
x	114	=	767
y	114	=	535
x	115	=	743
y	115	=	546
x	116	=	694
y	116	=	526
x	117	=	658
y	117	=	490
x	118	=	616
y	118	=	490
x	119	=	691
y	119	=	415
x	120	=	660
y	120	=	446
x	121	=	587
y	121	=	490
x	122	=	551
y	122	=	490
x	123	=	518
y	123	=	523
x	124	=	478
y	124	=	563
x	125	=	520
y	125	=	607
x	126	=	520
y	126	=	618
x	127	=	455
y	127	=	607
x	128	=	492
y	128	=	607
x	129	=	772
y	129	=	588
x	130	=	817
y	130	=	633
x	131	=	832
y	131	=	590
x	132	=	796
y	132	=	626
x	133	=	935
y	133	=	539
x	134	=	989
y	134	=	593
x	135	=	1020
y	135	=	624
x	136	=	914
y	136	=	507
x	137	=	883
y	137	=	507
x	138	=	883
y	138	=	479
x	139	=	853
y	139	=	449
x	140	=	945
y	140	=	507
x	141	=	991
y	141	=	553
x	142	=	1022
y	142	=	584
x	143	=	1019
y	143	=	543
x	144	=	959
y	144	=	483
x	145	=	1089
y	145	=	613
x	146	=	1080
y	146	=	662
x	147	=	1091
y	147	=	662
x	148	=	1100
y	148	=	702
x	149	=	1060
y	149	=	410
x	150	=	521
y	150	=	10
x	151	=	442
y	151	=	113
x	152	=	466
y	152	=	89
x	153	=	380
y	153	=	170
x	154	=	348
y	154	=	170
x	155	=	348
y	155	=	192
x	156	=	309
y	156	=	153
x	157	=	412
y	157	=	138
x	158	=	713
y	158	=	71
x	159	=	672
y	159	=	30
x	160	=	807
y	160	=	138
x	161	=	430
y	161	=	245
x	162	=	433
y	162	=	312
x	163	=	410
y	163	=	355
x	164	=	427
y	164	=	372
x	165	=	417
y	165	=	420
x	166	=	476
y	166	=	479
x	167	=	425
y	167	=	530
x	168	=	449
y	168	=	554
x	169	=	468
y	169	=	573
