y	114	=	676
x	115	=	785
y	115	=	687
x	116	=	735
y	116	=	637
x	117	=	717
y	117	=	601
x	118	=	692
y	118	=	584
x	119	=	767
y	119	=	540
x	120	=	736
y	120	=	540
x	121	=	659
y	121	=	566
x	122	=	623
y	122	=	530
x	123	=	590
y	123	=	497
x	124	=	550
y	124	=	537
x	125	=	613
y	125	=	646
x	126	=	624
y	126	=	657
x	127	=	548
y	127	=	581
x	128	=	585
y	128	=	618
x	129	=	785
y	129	=	729
x	130	=	785
y	130	=	774
x	131	=	858
y	131	=	802
x	132	=	822
y	132	=	802
x	133	=	964
y	133	=	806
x	134	=	964
y	134	=	861
x	135	=	995
y	135	=	892
x	136	=	973
y	136	=	743
x	137	=	945
y	137	=	715
x	138	=	917
y	138	=	687
x	139	=	887
y	139	=	657
x	140	=	1004
y	140	=	743
x	141	=	1004
y	141	=	783
x	142	=	1035
y	142	=	814
x	143	=	1076
y	143	=	811
x	144	=	1076
y	144	=	751
x	145	=	1064
y	145	=	852
x	146	=	1055
y	146	=	930
x	147	=	1066
y	147	=	930
x	148	=	1035
y	148	=	970
x	149	=	1088
y	149	=	657
x	150	=	710
y	150	=	0
x	151	=	679
y	151	=	53
x	152	=	703
y	152	=	29
x	153	=	590
y	153	=	142
x	154	=	558
y	154	=	142
x	155	=	536
y	155	=	142
x	156	=	497
y	156	=	142
x	157	=	622
y	157	=	110
x	158	=	964
y	158	=	174
x	159	=	923
y	159	=	174
x	160	=	988
y	160	=	292
x	161	=	619
y	161	=	282
x	162	=	519
y	162	=	334
x	163	=	499
y	163	=	350
x	164	=	482
y	164	=	367
x	165	=	501
y	165	=	415
x	166	=	501
y	166	=	465
x	167	=	540
y	167	=	504
x	168	=	540
y	168	=	528
x	169	=	540
y	169	=	547
x	170	=	387
y	170	=	700
x	171	=	303
y	171	=	784
x	172	=	181
y	172	=	906
x	173	=	84
y	173	=	1003
x	174	=	1059
y	174	=	445
x	175	=	1040
y	175	=	388
x	176	=	1020
y	176	=	368
x	177	=	1001
y	177	=	388
x	178	=	1001
y	178	=	402
x	179	=	1040
y	179	=	344
x	180	=	1005
y	180	=	309
x	181	=	739
y	181	=	298
x	182	=	685
y	182	=	244
x	183	=	868
y	183	=	676
x	184	=	867
y	184	=	709
x	185	=	919
y	185	=	643
x	186	=	919
y	186	=	625
x	187	=	985
y	187	=	452
x	188	=	967
y	188	=	470
x	189	=	939
y	189	=	405
x	190	=	939
y	190	=	418
x	191	=	939
y	191	=	367
x	192	=	928
y	192	=	491
x	193	=	919
y	193	=	491
x	194	=	995
y	194	=	268
x	195	=	987
y	195	=	306
x	196	=	964
y	196	=	329
x	197	=	991
y	197	=	657
x	198	=	878
y	198	=	558
x	199	=	865
y	199	=	558
x	200	=	764
y	200	=	666
x	201	=	717
y	201	=	619
x	202	=	692
y	202	=	601
x	203	=	891
y	203	=	733
x	204	=	847
y	204	=	689
x	205	=	595
y	205	=	210
x	206	=	532
y	206	=	181
x	207	=	566
y	207	=	181
x	208	=	585
y	208	=	268
x	209	=	560
y	209	=	293
x	210	=	543
y	210	=	310
x	211	=	499
y	211	=	334
x	212	=	547
y	212	=	340
x	213	=	525
y	213	=	362
x	214	=	566
y	214	=	340
x	215	=	619
y	215	=	310
x	216	=	626
y	216	=	350
x	217	=	789
y	217	=	364
x	218	=	808
y	218	=	383
x	219	=	734
y	219	=	415
x	220	=	688
y	220	=	155
x	221	=	770
y	221	=	114
x	222	=	669
y	222	=	174
x	223	=	747
y	223	=	168
